"sample.ID","count.nonzero.meth","count.zero.meth","count.0.7.meth","Treatment","ratio.nonzero.meth","ratio.zero.meth","ratio.0.7.meth","maternal_ID"
"162-7",2670205,63368,1375530,"Shallow",0.976818617977277,0.0231813820227226,0.503198561004224,"SLL063"
"162-11",2655639,77934,1352688,"Shallow",0.971490060810522,0.0285099391894784,0.494842464422937,"SLL063"
"164-8",2665842,67731,1381718,"Shallow",0.97522253841401,0.0247774615859902,0.505462264955061,"SLL065"
"164-13",2664159,69414,1232164,"Shallow",0.974606860691117,0.0253931393088826,0.450752184046301,"SLL065"
"166-12",2661844,71729,1388581,"Shallow",0.973759983728256,0.026240016271744,0.507972898473902,"SLL146"
"166-16",2668761,64812,1459763,"Shallow",0.976290371612538,0.0237096283874621,0.534012810340167,"SLL146"
"168-3",2657988,75585,1376012,"Shallow",0.972349375707179,0.0276506242928212,0.503374887006859,"SLL176"
"168-4",2662446,71127,1371690,"Shallow",0.973980208320758,0.0260197916792418,0.501793806128463,"SLL176"
"170-3",2643482,90091,1251424,"Shallow",0.967042767835357,0.0329572321646431,0.457797907720043,"SLL142"
"170-4",2653722,79851,1421328,"Shallow",0.970788780837388,0.0292112191626124,0.519952457827173,"SLL142"
"172-1",2669226,64347,1513489,"Shallow",0.976460478648275,0.0235395213517254,0.553666940667032,"SLL188"
"172-5",2672899,60674,1455633,"Shallow",0.977804141319804,0.0221958586801962,0.532501967205558,"SLL188"
"175-2",2631412,102161,1266703,"Shallow",0.962627301337846,0.0373726986621539,0.463387295674928,"SLL144"
"175-7",2676480,57093,1429841,"Shallow",0.979114148405768,0.0208858515942322,0.523066696956694,"SLL144"
"176-2",2673479,60094,1396200,"Shallow",0.978016317837497,0.0219836821625031,0.510760093108909,"SLL189"
"176-5",2640681,92892,1283018,"Shallow",0.966018101583532,0.0339818984164681,0.469355674789003,"SLL189"
"178-2",2661547,72026,1421789,"Shallow",0.973651334718334,0.0263486652816662,0.520121101576581,"SLL171"
"178-5",2670613,62960,1342142,"Shallow",0.976967873182827,0.023032126817173,0.490984510016744,"SLL171"
"180-6",2674875,58698,1459681,"Shallow",0.978527004766289,0.0214729952337106,0.533982812970424,"SLL143"
"180-11",2663821,69752,1478377,"Shallow",0.974483212996324,0.0255167870036761,0.540822213271787,"SLL143"
"163-1",2650011,83562,1411573,"Deep",0.969431216945734,0.0305687830542663,0.516383868292524,"SLL063"
"163-5",2671913,61660,1380960,"Deep",0.977443441239725,0.0225565587602746,0.505184972195731,"SLL063"
"165-1",2659617,73956,1329227,"Deep",0.972945299064631,0.0270547009353692,0.486259924282249,"SLL065"
"165-3",2667107,66466,1398105,"Deep",0.97568530271553,0.0243146972844698,0.511456983223056,"SLL065"
"167-1",2658359,75214,1321908,"Deep",0.972485095514186,0.027514904485814,0.483582476121911,"SLL146"
"167-8",2655331,78242,1372417,"Deep",0.971377387763195,0.0286226122368051,0.502059758418744,"SLL146"
"169-5",2657383,76190,1311548,"Deep",0.97212805364993,0.02787194635007,0.479792564530013,"SLL176"
"169-8",2659144,74429,1370045,"Deep",0.972772265456236,0.0272277345437638,0.501192029625695,"SLL176"
"171-1",2659066,74507,1440851,"Deep",0.972743731372822,0.0272562686271777,0.527094392577041,"SLL142"
"171-2",2663584,69989,1336551,"Deep",0.974396513281335,0.0256034867186645,0.488939201550498,"SLL142"
"173-3",2670733,62840,1384855,"Deep",0.977011771772695,0.0229882282273054,0.506609847258515,"SLL188"
"173-7",2655823,77750,1391276,"Deep",0.971557371981652,0.0284426280183481,0.508958787638011,"SLL188"
"174-2",2652123,81450,1361235,"Deep",0.970203832127402,0.0297961678725975,0.497969141486253,"SLL144"
"174-9",2672768,60805,1381304,"Deep",0.977756218692532,0.0222437813074683,0.505310814820018,"SLL144"
"177-2",2661312,72261,1463348,"Deep",0.97356536664651,0.0264346333534901,0.53532428071246,"SLL189"
"177-3",2660597,72976,1250856,"Deep",0.973303804215216,0.0266961957847842,0.457590121061336,"SLL189"
"179-1",2643498,90075,1367005,"Deep",0.967048620980673,0.0329513790193275,0.500079932015717,"SLL171"
"179-6",2670159,63414,1395000,"Deep",0.976801790184495,0.0231982098155052,0.510321107210234,"SLL171"
"181-6",2665822,67751,1298840,"Deep",0.975215221982365,0.0247847780176348,0.475143703863039,"SLL143"
"181-10",2671680,61893,1540411,"Deep",0.977358204811066,0.022641795188934,0.563515589303816,"SLL143"
